,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_221,0,0,0,0,0,0,0,0,0,5,16,10,19,0,0,0,0,0,78,12,48,82
ASV_222,27,21,36,54,62,54,97,9,1,0,0,0,0,30,39,51,54,47,0,0,0,0
ASV_223,2,1,2,7,1,3,7,0,0,0,0,0,0,104,119,118,79,139,0,0,0,0
ASV_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185,213
ASV_225,4,41,9,2,13,8,3,119,204,0,0,0,0,28,38,41,23,47,0,0,0,0
ASV_226,0,0,0,0,0,0,0,0,0,6,3,7,11,0,0,0,0,0,0,0,0,281
ASV_227,13,61,46,16,37,40,52,37,38,0,0,0,0,30,38,40,72,55,0,0,0,0
ASV_228,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,389,2
ASV_229,13,15,16,20,7,11,5,1,4,0,0,0,0,43,87,84,125,140,0,0,0,0
ASV_230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,201,35
ASV_231,6,50,33,2,18,20,14,62,277,0,0,0,0,33,34,8,2,5,0,0,0,0
ASV_232,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,1,1,70,405
ASV_233,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,193,18,129,15
ASV_234,0,0,1,1,0,0,0,0,0,0,3,8,1,0,0,0,0,0,106,41,59,101
ASV_235,0,0,0,0,0,2,0,0,0,418,22,14,77,0,0,0,1,0,0,0,20,0
ASV_236,0,0,0,0,0,0,0,1,0,134,91,189,135,0,1,0,0,0,0,0,2,0
ASV_237,44,41,77,53,67,56,79,71,34,0,0,0,0,1,8,4,18,1,0,0,0,0
ASV_238,0,0,0,0,0,0,0,0,0,5,6,9,6,0,0,0,0,0,0,0,492,11
ASV_239,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,9,9,276
ASV_240,6,12,22,11,79,49,115,115,124,0,0,0,0,1,2,1,4,4,0,0,0,0
ASV_241,0,0,0,0,0,0,0,0,0,16,24,32,29,0,0,0,0,0,12,0,178,179
ASV_242,2,4,18,19,7,18,15,13,5,0,0,0,0,16,84,118,121,103,0,0,0,0
ASV_243,22,19,51,36,28,55,55,5,3,0,0,0,0,45,75,45,47,53,0,0,0,0
ASV_244,0,0,0,0,0,0,0,0,0,44,250,88,120,0,0,0,0,0,0,0,0,1
ASV_245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,531
ASV_246,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,115,12
ASV_247,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,456,34,2,7
ASV_248,13,14,16,31,22,36,42,4,3,0,0,0,0,34,66,53,108,90,0,0,0,0
ASV_249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,111,0,0
ASV_250,0,0,0,0,0,0,0,0,0,7,3,7,6,1,5,5,1,3,9,0,20,0
ASV_251,0,0,0,0,0,0,0,0,0,145,130,89,128,0,0,0,0,0,0,0,1,2
ASV_252,0,0,0,0,0,0,0,0,0,6,9,13,6,0,0,0,0,0,0,0,318,141
ASV_253,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,36,33,86,33
ASV_254,0,0,2,1,0,1,0,1,3,0,0,1,0,17,93,196,18,187,0,0,0,0
ASV_255,10,44,37,27,40,49,42,147,69,0,0,0,0,7,26,8,2,10,0,0,0,0
ASV_256,5,7,7,10,10,10,8,14,8,0,0,0,0,44,82,99,107,107,0,0,0,0
ASV_257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68,33,137,122
ASV_258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,288,55,1,0
ASV_259,25,28,119,60,84,72,51,16,2,0,0,0,0,12,20,6,11,7,0,0,0,0
ASV_260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,5,162,148
ASV_261,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,39,36,93,10
ASV_262,0,0,0,0,0,0,0,1,0,94,127,155,102,0,0,0,0,0,0,0,20,1
ASV_263,28,127,52,24,84,61,52,46,32,0,0,0,0,0,1,0,1,0,0,0,0,0
