,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_243,4,10,8,17,47,16,54,19,22,0,0,0,0,3,2,0,1,0
ASV_244,0,0,0,0,0,0,0,0,0,0,1,201,1,0,0,0,0,0
ASV_245,9,29,24,9,10,17,28,24,19,0,0,0,0,4,10,4,10,5
ASV_246,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,34,64,49
ASV_247,0,0,0,0,0,0,0,0,0,26,79,65,29,0,1,0,0,1
ASV_248,0,0,0,0,0,0,0,0,0,0,190,7,4,0,0,0,0,0
ASV_249,7,5,38,32,19,27,27,4,9,0,2,0,0,2,5,2,9,12
ASV_250,5,15,23,11,18,24,19,17,18,0,0,0,0,12,12,4,11,10
ASV_251,4,12,21,12,15,21,31,23,23,0,0,0,0,1,16,5,2,9
ASV_252,5,7,13,10,6,6,11,0,0,0,0,0,0,20,33,26,38,19
ASV_253,0,0,0,0,0,0,0,0,0,27,39,67,60,0,0,0,0,0
ASV_254,3,13,20,6,45,30,23,31,14,0,0,0,0,1,1,1,2,2
ASV_255,0,1,6,1,47,15,71,18,33,0,0,0,0,0,0,0,0,0
ASV_256,15,11,28,29,16,8,20,11,4,0,0,0,0,4,13,9,9,14
ASV_257,0,0,1,0,0,1,0,0,0,0,0,0,0,21,43,34,53,38
ASV_258,0,0,1,0,0,0,0,0,0,32,66,58,34,0,0,0,0,0
ASV_259,0,0,0,0,0,0,0,0,0,46,31,42,72,0,0,0,0,0
ASV_260,13,25,27,14,20,20,19,8,6,0,0,0,0,2,9,8,12,7
ASV_261,3,2,4,3,14,6,10,3,0,0,0,0,0,11,34,34,40,25
ASV_262,7,40,29,4,20,15,17,24,25,0,0,0,0,1,3,1,1,1
ASV_263,5,9,27,5,17,30,33,34,26,0,0,0,0,0,1,0,0,0
ASV_264,0,0,0,0,0,0,0,0,0,20,33,72,62,0,0,0,0,0
ASV_265,5,8,27,6,30,21,14,26,16,0,0,0,1,2,9,5,10,6
ASV_266,0,0,0,0,0,0,0,0,0,3,176,2,5,0,0,0,0,0
ASV_267,6,12,17,9,10,18,12,4,0,0,0,0,0,17,18,15,26,21
ASV_268,0,0,0,0,0,0,0,0,0,43,57,46,39,0,0,0,0,0
ASV_269,8,25,37,5,26,16,16,33,16,0,0,0,0,1,0,0,0,1
ASV_270,0,8,0,0,0,0,0,40,134,0,0,0,0,0,2,0,0,0
ASV_271,17,14,32,28,31,22,10,15,13,0,0,0,0,0,0,0,0,0
ASV_272,0,0,0,0,0,0,0,0,0,0,169,13,0,0,0,0,0,0
ASV_273,3,0,0,30,7,19,1,0,0,0,0,0,0,0,0,0,0,120
ASV_274,12,9,38,14,29,24,21,21,5,0,0,0,0,1,2,1,1,2
ASV_275,0,1,0,0,0,0,0,0,0,0,0,0,0,15,41,30,53,40
ASV_276,1,33,7,2,9,10,3,13,94,0,2,0,2,0,0,0,0,0
ASV_277,0,0,0,0,0,0,0,0,0,79,14,49,33,0,0,0,0,0
ASV_278,4,20,12,36,7,12,17,12,11,0,0,0,0,4,14,7,11,7
ASV_279,0,2,0,0,0,0,0,1,0,0,0,0,0,11,39,40,25,55
ASV_280,0,3,2,1,0,0,0,0,2,0,0,0,0,31,28,16,52,38
ASV_281,0,0,0,0,0,0,0,0,0,24,66,46,37,0,0,0,0,0
ASV_282,0,0,0,0,1,0,0,0,0,51,40,39,40,0,0,1,0,0
ASV_283,1,5,2,11,0,5,1,0,0,0,0,1,1,22,24,32,28,38
ASV_284,0,0,0,0,0,0,0,0,0,8,28,44,91,0,0,0,0,0
ASV_285,5,7,6,9,8,2,4,8,9,0,0,0,0,19,32,15,24,21
ASV_286,0,10,2,1,2,3,4,60,69,0,0,0,0,10,2,0,0,4
ASV_287,7,9,8,10,7,5,5,1,1,0,0,0,0,14,26,4,35,33
ASV_288,0,1,0,1,0,4,0,0,0,0,0,0,0,22,45,39,15,38
ASV_289,13,13,34,1,31,35,17,5,15,0,0,0,0,0,0,0,0,0
ASV_290,0,0,0,0,1,0,1,0,0,15,98,31,17,0,0,0,0,1
ASV_291,0,0,14,6,6,3,5,3,3,0,0,0,0,15,32,22,21,34
ASV_292,0,0,0,0,0,0,0,0,0,7,120,3,32,0,0,0,0,0
ASV_293,0,0,0,0,0,0,0,0,0,47,48,43,24,0,0,0,0,0
ASV_294,0,0,0,0,0,0,0,0,0,55,39,37,29,0,0,0,0,0
ASV_295,3,13,20,13,19,8,17,30,19,0,2,1,0,2,4,2,4,2
ASV_296,6,2,13,28,12,8,19,7,10,0,0,0,0,8,6,4,14,22
ASV_297,0,0,0,0,0,0,0,0,0,27,51,37,44,0,0,0,0,0
ASV_298,0,1,1,4,0,1,0,0,1,0,0,0,0,20,27,28,53,22
ASV_299,1,0,0,1,0,0,0,0,0,0,0,0,0,37,41,17,16,44
ASV_300,0,14,3,1,5,2,2,15,115,0,0,0,0,0,0,0,0,0
ASV_301,10,1,3,36,1,2,4,0,0,0,0,0,0,10,28,15,19,27
ASV_302,1,3,8,16,14,9,11,3,0,0,0,0,0,6,17,16,34,17
ASV_303,0,0,0,0,0,0,0,0,0,5,127,8,15,0,0,0,0,0
ASV_304,3,10,13,15,0,4,0,0,1,0,0,0,0,3,19,17,53,16
ASV_305,3,7,16,3,5,5,5,0,0,0,0,0,0,18,28,6,39,19
ASV_306,5,13,11,11,25,26,14,8,6,0,0,0,0,1,13,8,3,9
ASV_307,0,4,10,6,4,5,10,3,5,0,0,0,0,18,57,8,15,8
ASV_308,0,0,0,0,0,0,0,0,0,38,45,33,37,0,0,0,0,0
ASV_309,8,27,41,19,11,15,10,4,6,0,0,0,0,1,2,5,1,2
ASV_310,4,1,2,23,0,5,1,0,0,0,0,0,0,14,18,22,38,24
ASV_311,5,31,24,5,27,13,2,25,17,0,0,0,0,0,3,0,0,0
